name,event_type,event_time,description,city,class
Интеграция с DLP: увеличиваем эффективность всех ИТ-систем,webinar,2020-06-29 21:00:00+00,"Есть мнение, что DLP-система – опасный интервент, который в первый же день работы ""поссорится"" с другими служебными программами, и в компании наступит апокалипсис. Такое беспокойство напрасно, ведь грамотная интеграция DLP с другими системами способна значительно увеличить их общий КПД. Чтобы разобраться в сложных технических ""взаимоотношениях"" защитных решений и IT-инфраструктуры, приглашаем вас на вебинар ""Интеграция с DLP: увеличиваем эффективность всех ИТ-систем"" 30 июня в 11.00 (МСК). На вебинаре мы расскажем, как с помощью интеграции усилить контроль за данными и собрать полную картину происходящего в компании . Обсудим интеграцию DLP с: системами управления доступом (IDM); системами расчёта зарплаты; СКУД Windows-инфраструктурой; системами мониторинга технического состояния; оперативными центрами SOC; SIEM-системами; Proxy; AD; BI-системами; любыми другими через API. Спикер – Георгий Минасян Директор по безопасности ""СёрчИнформ"", эксперт в области аудита и оптимизации IT-инфраструктуры, лицензирования ФСБ, ФСТЭК. Инициатор создания комитета по информационной безопасности РУССОФТ. Опыт работы в IT – 31 год, в информационной безопасности – 10 лет. [if !supportLineBreakNewLine] [endif]",online,undefined
Data Quality Meetup #2,meetup,2020-10-21 16:00:00+00,"21 октября приглашаем на 2-й Data Quality Online Meetup. Регистрация по ссылке: https://epa.ms/data-quality-meetup-2 Андрей Беспалов, Senior Data Quality Engineer, расскажет про аспекты работы Data Quality инженера на проектах: - Какие трудности ожидать в начале работы на проекте, какие первые шаги, c кем важно установить контакт в первую очередь; - Как отделить DQ-задачи от задач по традиционному тестированию, пересечение и разница этих задач; - Взаимодействие с другими командами в роли DQ-инженера, на что обратить внимание; - Какие навыки полезно иметь, работая в роли DQ-инженера на проектах; - Тонкости демонстрации результатов своей работы в роли DQ-инженера. Начинаем в 19:00 (время мск). Присоединяйтесь: https://epa.ms/data-quality-meetup-2",Без города,ds
"Программа Натальи Трениной ""Мышление на границе роста. Убеждения. Полярности. Взаимосвязи""",meetup,2020-09-08 21:00:00+00,"Три подхода для развития зрелости взрослого человека Лидерство живет на границе — как личного роста, так и организационного развития. Нам приходится быть мостом между двумя сферами — настоящего и лучшего будущего. Когда мы коллективно создаем результаты, которых не хочет никто, это ясно показывает уязвимость лидерства. Причины такой уязвимости отнюдь не в недостатке компетенций или средств. Ее корень — в границах мышления, сложность которого должна, как минимум, соответствовать сложности задач, которые перед нами стоят. Развитие взрослого человека основано на осознании ограничивающих убеждений, управлении полярностями, пониманию и углублению взаимосвязанности с другими. Эти три темы легли в серию ""Мышление на границе роста"". Три онлайн-воркшопа будут посвящены подходам, которые я нахожу наиболее ценными для развития: ● Immunity To Change ™ Workshop , 15 июля ● Polarity Thinking ™ Workshop , 12 августа ● Relationship Systems Intelligence ™ Workshop , 9 сентября Участие в серии станет входным условием для программы ""Встречи на границе роста"", где мы будем углубляться в темы, расширять инструментарий и использовать преимущества физических встреч. Зарегистрироваться Immunity To Change ™ Workshop — 15 июля Как лидеры могут взращивать культуру организационного обучения и личного развития? Продвигая ценность развития и демонстрируя на своем примере то, как зрелые люди способны (и должны) меняться. Однако, мы все знаем ""одного человека"", который просто не будет развиваться. Иногда легко понять почему — он или она опасаются изменений в структуре власти, необходимости оказаться в роли новичка, стресса при переходе в другую команду... Но бывают и случаи, когда мы недоумеваем — казалось бы, есть все необходимые навыки, понимание, намерение, но по непонятным причинам — ничего не меняется. Обнаруживали ли вы себя в такой ситуации? Что происходит? Такое необъяснимое сопротивление изменениям не означает оппозицию или инертность. Наоборот, даже при чистосердечной поддержке перемен, многие люди неосознанно направляют энергию в сторону другого, конкурирующего, поведения. Таким образом, мы застреваем в состоянии динамического равновесия и тратим силы, ""плывя против течения"". Так показывает себя Иммунитет к Изменениям — защитный механизм мышления, который по аналогии с иммунитетом тела, призван защищать, но может и навредить нам. Согласно подходу Роберта Кигана и Лисы Лейхи, лидеры и организации, которые осознают и преодолевают Иммунитет к изменениям, лучше вовлекают сотрудников и достигают результатов. На этом воркшопе мы познакомимся с картой Immunity To Change ™ и поработаем над личными задачами и препятствиями развития. Задачи воркшопа ● научиться отделять технические вызовы (разрешаются инструментарием) от адаптивных (требуют изменения в мышлении); ● выбрать ""одну большую вещь"" (изменение), которая улучшит качество работы и жизни; ● исследовать это изменение с точки зрения конкурирующего поведения, опасений и больших убеждений, которые образуют иммунную систему; ● поискать возможности выхода из создавшейся динамики через серию небольших, безопасных экспериментов. Цели Повышение способности меняться, сохранение энергии, осознанность к иммунной системе других людей, развитие мышления взрослого человека. Polarity Thinking ™ Workshop — 12 августа В мире растущей взаимозависимости и сложности жизненно важно использовать мышление ""и то и другое"" как альтернативу традиционному решению проблем. Управление полярностями, которые пронизывают нашу работу и жизнь, помогает расширить возможности, примирить конфликтующие позиции и решить стратегические задачи более устойчивым образом. Исследования эффективности организаций показывают: лидеры, команды и компании, которые используют Полярности, значительно превосходят тех, кто этого не делает. То, насколько искусно мы можем находиться в состоянии дилеммы, использовать разнообразие социальных систем, балансировать полярные позиции и использовать их осознанно, не позволяя крайностям захватить нас — определяет качество жизни человека, здоровье общества и производительность организации. Задачи воркшопа ● научиться отделять проблемы (и их решение) от полярностей (и управления ними) ● определить свои текущие дилеммы и полярные позиции, которые их представляют ● использовать управление полярностями в личной, командной или организационной перспективах. Цели Свобода осознанного выбора, сохранение энергии, качество отношений, вертикальное развитие (развитие мышления взрослого человека). Relationship System Intelligence ™ Workshop — 9 сентября В песнях, прозе, духовной практике отношения часто сравнивают с рекой. Она может обладать гладкой солнечной поверхностью, ревом порогов, иссушенной или болотистой поймой. Все человеческие существа рождаются с глубокой потребностью связи с другими, а эмоции являются естественной валютой партнерства. Несмотря на то, что мы все хотим, чтобы река отношений была сказочной, захватывающей, расслабляющей, будоражащей или волнующей, это — самый маргинальный и недоиспользованный аспект в организационной среде. По мере того, как мы получаем болезненный опыт в семье, партнерстве и командной работе, появляются разочарования и мы начинаем искать более безопасные формы взаимодействия. Дистанция увеличивается, мы консервируем свой потенциал ""быть"" и ""создавать"" в соединенности с другими и отказываемся от захватывающей силы отношений. Интеллект систем отношений (RSI, Relationship Systems Intelligence ™) представляет собой мощную теорию и инструментарий для навигации в отношениях, развития индивидуальной и коллективной осознанности, использования мудрости социальных систем. RSI дает нам руководство по развитию отношений, помогает ""читать"" состояние системы, настраиваться на проявляющиеся изменения, помогать системе перейти через ""порог"" от текущего состояния к желаемому будущему. Ключевые принципы RSI говорят: ● Все голоса и точки зрения являются выражением системы отношений; ● Опыт человека принадлежит как ему лично, так и всей группе; ● Системы природно мудры, но не всегда достаточно осознанны; ● Лидер работает со всей системой, помогая ей лучше понять себя. На этом воркшопе мы познакомимся с принципами и практиками RSI в атмосфере исследовательской лаборатории. Задачи воркшопа ● обратить внимание на ""третью сущность"" — систему отношений, которая обладает отдельной ценностью, независимой от ценности ее элементов; ● познакомиться с мета-навыками, которые помогают использовать и развивать RSI; ● научиться видеть Первичный и Вторичный процессы (статус кво и вытесненную часть) как полярности в отношениях; ● применить RSI для изучения Четырех токсинов отношений: критики, самозащиты, пренебрежения и отстраненности. Цели развитие самоосознанности и системной осознанности, здоровье отношений, использование мудрости систем. Доступные форматы Открытая серия включает три воркшопа по 5 часов, с 9:30 до до 14:30 в онлайн-формате. Подключение к работе осуществляется в Zoom c обязательным использованием видеосвязи. Структура каждой сессии сочетает знакомство с основами, индивидуальную проработку учебных примеров и работу над личными задачами, взаимодействие в парах и командах. Каждый из воркшопов сопровождается предварительными — сонастраивающими и заключительными — углубляющими заданиями. При желании вы можете заказать персональную либо корпоративную работу в коучинг-формате (условия обсуждаются индивидуально). Даты в открытом формате 15 июля — Immunity To Change ™ Workshop 12 августа — Polarity Thinking ™ Workshop 9 сентября — Relationship Systems Intelligence ™ Workshop Стоимость участия в программе Стоимость участия в программе из трех воркшопов — $300. В порядке исключения возможно участие в одном воркшопе — $250. Зарегистрироваться",online,busorg
Как прорабатывать бизнес-идеи - считаем цифры на пальцах,Другое,2019-09-05 11:05:00+00,"Во время встречи - мы пройдем весь путь по оценке финансовой части планируемого проекта: - Научимся считать на пальцах потенциальный объем локального и глобального рынка, возможную доходность и интерес для инвесторов - Оценим необходимые для запуска проекта ресурсы, компетенции и людей в команду - Научимся идентифицировать потенциальных партнеров и адвайзеров и возможное предложение, которое поможет привлечь их в самом начале Если Вы хотите, чтобы мы проработали именно Вашу идею, создайте ее описание на https://app.venturefusion.io/projects/my и пришлите ссылку на созданный проект мне на почту [masked] Место проведение уточняется. Возможен формат вебинара",,busorg
Как увеличить продажи во времена пост-пандемии: вносим структуру и креатив,webinar,2020-08-19 21:00:00+00,"Наш спикер - практик, а не теоретик. В связи с этим, на вебинаре будут обсуждаться только проверенные методы и приемы, которые Екатерина и ее команда используют в продажах IT продукта на иностранные рынки. Рецепт прост: щепотка вдохновения из актуальных книг и статей, а все остальное - инструменты, задания и четкая инструкция, выполнив которую, объем продаж увеличится, а Ваша команда выйдет на новый уровень продуктивности. О чем поговорим на вебинаре: обзор рынка IT 2020; сложности, с которыми сейчас чаще всего сталкиваются владельцы бизнесов и отделы продаж; как структурировать работу отдела продаж (включая построение и менеджмент команды при удаленной работе); креативные решения в продажах и мотивация сотрудников на их генерацию Спикер: Екатерина Дубровская, сейлз менеджер и частный предприниматель",online,undefined
Webinar: Information-Theoretic Probing with Minimum Description Length,training,2020-07-22 21:00:00+00,"► Topic: Information-Theoretic Probing with Minimum Description Length ► Speaker: Elena Voita, a Ph.D. student at the University of Edinburgh and the University of Amsterdam ► Who will be interested: We will discuss enhanced ways of measuring what the BERT and ELMo models can learn. The talk will be of particular interest to people trying to use pre-trained models in practice, as well as to people with a more general interest in model analysis and/or representation learning. Attendees will get the most out of this talk if they have an awareness of these popular pre-trained models and understand their usefulness for downstream tasks. ► Language: English ► Registration: forms.gle/uhmCJ8cys2K2ZVyT9 The event is free with mandatory registration. Please look out for a confirmation email with all the necessary information and links to online streaming. ""How can you know whether a model (e.g., ELMo, BERT) has learned to encode a linguistic property? The most popular approach to measure how well pretrained representations encode a linguistic property is to use the accuracy of a probing classifier (probe). However, such probes often fail to adequately reflect differences in representations, and they can show different results depending on probe hyperparameters. As an alternative to standard probing, we propose information-theoretic probing which measures minimum description length (MDL) of labels given representations. In addition to probe quality, the description length evaluates ‘the amount of effort’ needed to achieve this quality. We show that (i) MDL can be easily evaluated on top of standard probe-training pipelines, and (ii) compared to standard probes, the results of MDL probing are more informative, stable, and sensible.""",online,ds
Комплексный курс JavaScript + ECMAScript,training,2020-05-10 21:00:00+00,"JavaScript семимильными шагами покоряет веб. 💪 Он не просто чрезвычайно популярен, он претендует на звание самого универсального языка программирования. JavaScript в 2020 году — это стратегический навык. Даже если он не нужен вам прямо сейчас, то наверняка понадобится чуть позже. Подробности . Для кого курс? ✔️ Кто только выучил HTML & CSS и планирует дальше покорять фронтенд. Мы предоставляем материал для подготоки к основному обучению. ✔️ Кто выучил основу и нужно двигаться дальше в правильном векторе с профессиональным саппортом. ✔️ Кто учил когда-то JS, но сейчас необходимо обновить скилл. ✔️ Кто хочет закрыть пробелы в знаниях и прокачаться на 100%! ⚠️ Места ограничены — бронируйте сейчас! 🚀 Регистрация в курсе → переходи на сайт .",online,web
Повышение конверсии сайта в условиях сниженного спроса,webinar,2020-05-17 21:00:00+00,"В условиях кризиса бизнес столкнулся с проблемой сниженного спроса. Когда трафик упал, каждый посетитель важен. На вебинаре спикеры ведущих digital-платформ WantResult и Ringostat расскажут про фишки повышения конверсии, которые можно быстро и легко внедрить, чтобы увеличить продажи. Что будет на вебинаре: Эффективное использование виджетов коллбек, мессенджеров, форм обратной связи Настройка поп-апов на сайте для большей вовлеченности Инструменты для получения инсайтов о клиентах Получение контактных данных посетителей сайта, не оставивших заявку Звонки по клику - как получать до 7 раз больше клиентов каждый день при помощи аналитики Big Data",online,undefined
Марафон для организаторов хакатона,webinar,2020-06-14 21:00:00+00,"Хакатон:инструкция по применению Участвуй в интерактивном недельном марафоне! Где будет проходить марафон : канал в Telegram Что будет : каждое утро ты будешь получать полезные материалы, чек-листы, лайфхаки, а также задание на день и не только. Это займет всего 30 минут твоего времени в день. Программа курса: задачи, которые решает хакатон; трекинг участников во время хакатона; таймлайн проекта; инструменты и сервисы для хакатона; Для кого: HR-специалистам Event агентствам Стартапам и компаниям ИТ-директорам и инновационным менеджерам Представителям акселераторов Студентам и аспирантам, преподавателям Спикеры: Дарья Зыкина Основатель Codenrock.com Основала платформу для автоматизированного онлайн-рекрутмента и проведения онлайн-мероприятий codenrock.com Организатор более 30 международных и российских хакатонов 5 лет на рынке IT Канина Алёна CEO ""ST consult"" консалтинговые услуги и IT решения для туризма Основатель и руководитель тур. акселератора ""Турбина"" Организатор первого туристического хакатона ""TourHack"" Тьюторская поддержка стартап проектов СБИ Гараж, кубка ""Преактум"" фонд Рыбакова. Старт марафона — 15 июня. Количество мест ограничено!)",online,undefined
МарТех.Недвижимость в регионах,webinar,2020-06-29 21:00:00+00,"30 июня в 12:00 CoMagic вместе с ЦИАН, Otclick и экспертами рынка недвижимости проведем онлайн-дискуссию, посвященную изменениям, которые коснулись застройщиков по всей стране. Обсудим финансовые потери девелоперов в регионах из-за ограничений и расскажем про маркетинговые инструменты для роста продаж в рамках рекламного бюджета. О чем будем говорить: ✅ К чему готовиться застройщикам в сегодняшних экономических условиях? ✅ Как изменилась маркетинговая стратегия девелоперов и где искать источники заявок? ✅ Что делать с пропущенными звонками, которых стало больше? ✅ Какие инструменты использовать для оптимизации рекламного бюджета? Модератор мероприятия Дмитрий Кудинов, CEO CoMagic Спикеры: Максим Молодцов Руководитель подразделения по управлению продажами Брусника Михаил Дрокин Заместитель коммерческого директора по работе с застройщиками и рекламными агентствами ЦИАН Илья Журавлев Генеральный директор Otclick Александр Фомин Руководитель отдела продаж BlackSeaDevelopment Елизавета Беликова Руководитель проектов Smartis Марина Киселева Директор по маркетингу СК Неометрия Краснодар Присоединяйтесь в онлайн-трансляции по ссылке .",online,undefined
